Source	Target	Type	Weight
朋友	性价比	Undirected	13
朋友	图片	Undirected	11
朋友	机会	Undirected	22
朋友	用心	Undirected	16
朋友	游玩	Undirected	17
朋友	景区	Undirected	12
朋友	客人	Undirected	10
朋友	老板	Undirected	29
朋友	走路	Undirected	10
朋友	体验	Undirected	19
朋友	家人	Undirected	13
朋友	细节	Undirected	10
朋友	早餐	Undirected	21
朋友	咖啡	Undirected	13
朋友	龙脊	Undirected	10
朋友	梯田	Undirected	11
交通	价格	Undirected	13
交通	感觉	Undirected	33
交通	服务态度	Undirected	18
交通	环境	Undirected	46
交通	性价比	Undirected	27
交通	景区	Undirected	13
交通	环境优美	Undirected	12
交通	步行	Undirected	14
交通	老板	Undirected	21
交通	体验	Undirected	20
交通	特色	Undirected	10
交通	整体	Undirected	11
交通	早餐	Undirected	17
价格	店	Undirected	12
价格	感觉	Undirected	16
价格	环境	Undirected	21
价格	性价比	Undirected	22
价格	老板	Undirected	13
价格	味道	Undirected	10
价格	早餐	Undirected	15
价格	梯田	Undirected	11
店	感觉	Undirected	18
店	环境	Undirected	24
店	用心	Undirected	11
店	老板	Undirected	13
店	店里	Undirected	14
店	早餐	Undirected	30
店	咖啡	Undirected	10
感觉	空调	Undirected	18
感觉	前台	Undirected	22
感觉	服务态度	Undirected	21
感觉	环境	Undirected	41
感觉	性价比	Undirected	17
感觉	机会	Undirected	27
感觉	用心	Undirected	30
感觉	游玩	Undirected	12
感觉	景区	Undirected	18
感觉	孩子	Undirected	12
感觉	床品	Undirected	12
感觉	客人	Undirected	12
感觉	老板	Undirected	53
感觉	走路	Undirected	11
感觉	体验	Undirected	28
感觉	味道	Undirected	17
感觉	特色	Undirected	10
感觉	电影	Undirected	11
感觉	卫生间	Undirected	11
感觉	老板娘	Undirected	11
感觉	床上用品	Undirected	10
感觉	评价	Undirected	10
感觉	总体	Undirected	19
感觉	床上	Undirected	12
感觉	细节	Undirected	18
感觉	整体	Undirected	22
感觉	一楼	Undirected	11
感觉	建议	Undirected	12
感觉	店里	Undirected	13
感觉	餐厅	Undirected	15
感觉	回家	Undirected	16
感觉	早餐	Undirected	62
感觉	观景台	Undirected	16
感觉	油条	Undirected	14
感觉	猫咪	Undirected	10
感觉	咖啡	Undirected	23
感觉	晚餐	Undirected	14
感觉	龙脊	Undirected	12
感觉	梯田	Undirected	21
空调	前台	Undirected	11
空调	环境	Undirected	11
空调	早餐	Undirected	25
前台	环境	Undirected	22
前台	停车场	Undirected	15
前台	机会	Undirected	10
前台	客人	Undirected	11
前台	老板	Undirected	10
前台	体验	Undirected	17
前台	味道	Undirected	10
前台	景色	Undirected	10
前台	早餐	Undirected	50
前台	观景台	Undirected	17
前台	咖啡	Undirected	12
前台	梯田	Undirected	13
服务态度	环境	Undirected	21
服务态度	性价比	Undirected	14
服务态度	早餐	Undirected	22
效果	隔音	Undirected	26
环境	性价比	Undirected	23
环境	停车场	Undirected	11
环境	家庭	Undirected	11
环境	机会	Undirected	16
环境	用心	Undirected	14
环境	游玩	Undirected	22
环境	景区	Undirected	18
环境	孩子	Undirected	10
环境	床品	Undirected	10
环境	店家	Undirected	17
环境	老板	Undirected	54
环境	礼貌	Undirected	11
环境	体验	Undirected	37
环境	味道	Undirected	19
环境	特色	Undirected	11
环境	卫生间	Undirected	10
环境	老板娘	Undirected	11
环境	空间	Undirected	12
环境	工作人员	Undirected	10
环境	小区	Undirected	12
环境	态度	Undirected	18
环境	总体	Undirected	13
环境	细节	Undirected	14
环境	整体	Undirected	13
环境	马桶	Undirected	13
环境	房	Undirected	12
环境	景色	Undirected	10
环境	建议	Undirected	13
环境	店里	Undirected	17
环境	餐厅	Undirected	14
环境	早餐	Undirected	72
环境	人员	Undirected	11
环境	观景台	Undirected	23
环境	咖啡	Undirected	17
环境	晚餐	Undirected	13
环境	龙脊	Undirected	14
环境	梯田	Undirected	21
性价比	游玩	Undirected	10
性价比	老板	Undirected	21
性价比	体验	Undirected	14
性价比	早餐	Undirected	12
停车场	老板	Undirected	15
停车场	味道	Undirected	13
停车场	马桶	Undirected	13
停车场	景色	Undirected	12
停车场	早餐	Undirected	25
停车场	观景台	Undirected	24
停车场	龙脊	Undirected	18
停车场	梯田	Undirected	22
停车场	田头	Undirected	11
家庭	房	Undirected	21
家庭	早餐	Undirected	20
机会	用心	Undirected	11
