片名,地区,评分,上映时间
"被涂污的鸟 Nabarvené ptáče",捷克/斯洛伐克/乌克兰,8.1,2019-09-03(威尼斯电影节)/2019-09-12(捷克)
"世界第一初恋：求婚篇 世界一初恋 プロポーズ編",日本,8.2,2020-02-21(日本)
"航海王：狂热行动 ONE PIECE STAMPEDE",日本,7.6,2019-10-18(中国大陆)/2019-08-09(日本)
"狮子王 The Lion King",美国,9.1,1995-07-15(中国大陆)/1994-06-15(美国)/2011-09-16(美国)
"马丁·伊登 Martin Eden",意大利/法国/德国,8.0,2019-09-02(威尼斯电影节)/2019-09-04(意大利)
"前程似锦的女孩 Promising Young Woman",英国/美国,7.6,2020-01-25(圣丹斯电影节)/2020-12-25(美国)
"热带雨",新加坡/中国台湾,7.6,2019-09-08(多伦多电影节)/2019-11-28(新加坡)
"金都",中国香港,7.7,2020-06-11(中国香港)/2019-11-17(香港亚洲电影节)
"极限逃生 엑시트",韩国,7.5,2019-07-31(韩国)
"小伟",中国大陆,7.6,2021-01-22(中国大陆)/2019-07-23(FIRST青年影展)
"希望沟壑 Hope Gap",英国,8.0,2019-09-06(多伦多电影节)/2020-06-12(英国)
"数码宝贝：最后的进化 デジモンアドベンチャー LAST EVOLUTION 絆",日本,7.4,2020-10-30(中国大陆)/2020-02-21(日本)
"最初的梦想 Chhichhore",印度,7.8,2019-09-06(印度)
"从不，很少，有时，总是 Never Rarely Sometimes Always",美国/英国,7.6,2020-01-24(圣丹斯电影节)/2020-02-25(柏林电影节)/2020-03-13(美国)
"狩猎 Jagten",丹麦/瑞典,9.1,2012-05-20(戛纳电影节)/2013-01-10(丹麦)
"元首偷走了粉兔子 Als Hitler das rosa Kaninchen stahl",德国/瑞士/意大利,7.9,2019-12-25(德国)
"冰雪奇缘2 Frozen II",美国,7.1,2019-11-22(美国/中国大陆)
"纽约的一个雨天 A Rainy Day in New York",美国,7.4,2021(中国大陆)/2019-07-26(波兰)
"天气之子 天気の子",日本,7.1,2019-11-01(中国大陆)/2019-07-19(日本)
"逃离比勒陀利亚 Escape from Pretoria",英国/澳大利亚,7.6,2020-03-06(英国)
"少年泰坦出击大战少年泰坦 Teen Titans Go! vs Teen Titans",美国,8.4,2019-09-24(美国)
"叔·叔",中国香港,7.6,2020-05-28(中国香港)/2019-10-04(釜山国际电影节)
"隐形人 The Invisible Man",加拿大/澳大利亚/美国,7.2,2020-12-04(中国大陆)/2020-02-28(美国)
"紫罗兰永恒花园外传：永远与自动手记人偶 ヴァイオレット・エヴァーガーデン 外伝 - 永遠と自動手記人形 -",日本,7.5,2020-01-10(中国大陆)/2019-09-06(日本)
"变身特工 Spies in Disguise",美国,7.4,2020-01-03(中国大陆)/2019-12-04(加州首映)/2019-12-25(美国)
"第一滴血5：最后的血 Rambo: Last Blood",美国/西班牙/保加利亚,7.5,2019-09-18(印度尼西亚)/2019-09-20(美国)/2019-09-27(西班牙)
"血战摩苏尔 Mosul",美国,7.7,2019-09-04(威尼斯电影节)/2020-11-26(美国网络)
"默片解说员 カツベン！",日本,7.7,2019-10-04(釜山电影节)/2019-12-13(日本)
"刻在你心底的名字",中国台湾,7.2,2020-09-30(中国台湾)/2020-12-23(中国台湾网络)/2020-03-14(大阪亚洲电影节)
"银行家 The Banker",美国,7.7,2020-03-06(美国)/2020-03-20(美国网络)
"最好的尚未到来 Le Meilleur reste à venir",法国/比利时,8.0,2019-12-04(法国)
"小羊肖恩2：末日农场 A Shaun the Sheep Movie: Farmageddon",英国/法国/美国,7.6,2019-12-28(中国大陆)/2019-09-26(德国)/2019-10-18(英国)
"红鞋子和七个小矮人 Red Shoes & the 7 Dwarfs",韩国,7.6,2019-07-25(韩国)
"老妇人 69세",韩国,7.7,2019-10-04(釜山电影节)/2020-08-20(韩国)
"朱迪 Judy",英国,7.5,2019-08-30(特柳赖德电影节)/2019-09-10(多伦多电影节)/2019-10-02(英国)
"一切如你",中国大陆,7.8,2019-09-12(中国大陆)
"银河英雄传说 Die Neue These 星乱 第1章 銀河英雄伝説 Die Neue These 星乱 第1章",日本,9.0,2019-09-27(日本)
"你好世界 HELLO WORLD",日本,7.3,2021-06-11(中国大陆)/2019-09-20(日本)
